id,set_id,name,rarity,effect_type,effect,lv5_effect,cap,source
CO022,SET05,약초사의 절구,rare,util,"회복 아이템 드롭 +5%","+12%","+40%","자원 던전"
CO023,SET05,생명의 씨앗,epic,rule,"회복 아이템이 소환체·펫도 회복","+ 보호막 5%","—","자원 던전"
CO024,SET05,정원사의 장갑,epic,stat,"재생 +0.2%/s","+0.5%/s","—","자원 던전"
CO025,SET05,세계수 잎,legend,rule,"초과 회복량의 20%가 보호막으로 전환(상한 최대 체력 20%)","35%","—","자원 던전 보스"
CO026,SET06,톱니바퀴,rare,stat,"소환체 피해 +3%","+8%","+50%","등반탑"
CO027,SET06,윤활유,rare,stat,"소환체 공격 간격 -2%","-5%","상한 공통","등반탑"
CO028,SET06,예비 부품,epic,rule,"소환체 파괴 시 재소환 시간 -30%","-50%","—","등반탑"
CO029,SET06,조종 회로,epic,util,"소환체 사거리 +10%","+25%","—","등반탑"
CO030,SET06,기계공의 설계도,legend,rule,"summon 스킬 중 1종 소환체 수 +1(가장 먼저 획득한 것)","2종","—","등반탑 50층"
CO031,SET07,행운의 동전,rare,stat,"치명타 확률 +1%","+3%","60%","보스 점수 상점"
CO032,SET07,납 주사위 한 쌍,rare,stat,"치명타 피해 +5%","+12%","300%","보스 점수 상점"
CO033,SET07,도박사의 모자,epic,rule,"치명타 시 3% 확률 광휘 +10","8%","—","보스 점수 상점"
CO034,SET07,마지막 카드,epic,rule,"체력 30% 이하 시 치명타 확률 +15%","+25%","—","보스 점수 상점"
CO035,SET07,운명의 저울,legend,rule,"받는 피해 +10%, 주는 피해 +12%","피해 +18%(받는 피해 유지)","—","보스 점수 시즌"
CO036,SET08,낡은 목줄,rare,stat,"펫 피해 +4%","+10%","+60%","펫 이벤트"
CO037,SET08,간식 주머니,rare,stat,"펫 체력 +5%","+12%","—","펫 이벤트"
CO038,SET08,조련 호루라기,epic,rule,"펫 스킬 간격 -10%","-20%","—","펫 이벤트"
CO039,SET08,야수의 발톱,epic,stat,"펫 치명타 확률 +5%","+12%","—","펫 이벤트"
CO040,SET08,야성의 심장,legend,rule,"펫 사망 시 펫 위치에 계수 3.0 폭발 + 즉시 부활 1회(판당)","2회","—","펫 이벤트 최종"
CO041,SET09,멈춘 회중시계,rare,stat,"지속 +3%","+8%","+60%","원정"
CO042,SET09,모래시계 파편,rare,stat,"쿨다운 -2%","-5%","상한 공통","원정"
CO043,SET09,시간의 잉크,epic,util,"설치형 스킬 지속 +15%","+35%","—","원정"
CO044,SET09,되감기 열쇠,epic,rule,"중간 보스 처치 시 cooldown 스킬 즉시 재사용 가능","+ 최종 보스 등장 시","—","원정"
CO045,SET09,시간술사의 눈,legend,rule,"판당 1회, 사망 시 3s 전 상태로 되감기(체력·위치, 부활과 별개)","2회","—","원정 최고 등급"
CO046,SET10,거인의 손목 보호대,rare,stat,"근접 피해 +3%","+8%","+50%","위험 구역"
CO047,SET10,무거운 징,rare,stat,"넉백 +10%","+25%","+100%","위험 구역"
CO048,SET10,돌진 뿔,epic,rule,"이동 중 근접 피해 +8%","+15%","—","위험 구역"
CO049,SET10,거인의 심장,epic,stat,"근접 흡혈 +1%","+2%","상한 공통","위험 구역"
CO050,SET10,대지의 인장,legend,rule,"근접 처치 10회마다 반경 3u 계수 2.0 충격파","7회","—","위험 구역 보스"
CO051,SET11,병든 잎,rare,stat,"독 피해 +4%","+10%","+75%","무한 생존 상점"
CO052,SET11,재 항아리,rare,stat,"화상 피해 +4%","+10%","+75%","무한 생존 상점"
CO053,SET11,전도성 뼈,epic,util,"감전 받는 피해 +12%→+15%","+20%","—","무한 생존 상점"
CO054,SET11,역병의사의 가면,epic,rule,"자신 상태 이상 지속 -30%","-60%","—","무한 생존 상점"
CO055,SET11,전염의 씨앗,legend,rule,"상태 이상 적 사망 시 20% 확률로 인접 1체에 복사","40%","—","무한 생존 30분"
CO056,SET12,촛농 조각,rare,stat,"beam·field 피해 +3%","+8%","+50%","메인 40+"
CO057,SET12,성수 병,rare,util,"장판 반경 +4%","+10%","+80% 공통","메인 40+"
CO058,SET12,빛의 렌즈,epic,util,"광선 폭 +10%","+25%","—","메인 40+"
CO059,SET12,사제의 묵주,epic,rule,"표식 지속 5s→7s","→10s","—","메인 40+"
CO060,SET12,여명의 성배,legend,rule,"봉화 안에서 beam·field 피해 +20%","+35%","—","메인 50+"
CO061,SET13,황혼 나침반,rare,util,"어둠 지대 시야 감소 60%→65%","→75%","—","위험 구역"
CO062,SET13,탐험가의 부츠 끈,rare,stat,"어둠 지대 이동 +4%","+10%","—","위험 구역"
CO063,SET13,별 지도,epic,rule,"어둠 지대 보석 ×1.5→×1.6","×1.8","—","위험 구역"
CO064,SET13,그림자 등,epic,util,"어둠 지대에서 적 실루엣 표시(EN20 등 반투명 적 가시화)","+ 적 이동 속도 보너스 무효","—","위험 구역"
CO065,SET13,황혼의 열쇠,legend,rule,"어둠 지대 체류 10s마다 광휘 +10","6s","—","위험 구역 보스"
CO066,SET14,등대 도시 동전,rare,econ,"금화 +3%","+8%","+50%","이벤트 교환소"
CO067,SET14,기념 엽서,rare,econ,"계정 경험치 +3%","+8%","—","이벤트 교환소"
CO068,SET14,항구 지도,epic,econ,"오프라인 봉화 수익 상한 8h→9h","→12h","—","이벤트 교환소"
CO069,SET14,장인의 도장,epic,econ,"장비 레벨업 골드 -3%","-8%","—","이벤트 교환소"
CO070,SET14,시장의 호의,legend,econ,"빠른 전투 보상 70%→75%","→85%","—","이벤트 교환소"
CO071,SET15,식은 잿더미,rare,stat,"봉화 회복 +0.1%/s","+0.3%/s","—","메인 50+"
CO072,SET15,봉화 부싯돌,rare,util,"봉화 점화 시각 -10s","-30s","—","메인 50+"
CO073,SET15,고대 문양석,epic,rule,"봉화 안 적 이동 -10%","-25%","—","메인 50+"
CO074,SET15,봉화지기의 망토,epic,stat,"봉화 안 받는 피해 -8%","-15%","—","메인 50+"
CO075,SET15,영원한 불꽃,legend,rule,"봉화가 꺼지지 않음(BS16·BS20 흡수 무효)","+ 봉화 반경 +2u","—","CH60 클리어"
CO076,SET16,사냥 표식,rare,stat,"엘리트 피해 +3%","+8%","+50%","보스 점수 상점"
CO077,SET16,거인 잡는 밧줄,rare,stat,"보스 피해 +2%","+6%","+40%","보스 점수 상점"
CO078,SET16,추적자의 눈,epic,util,"엘리트·보스 예고 +0.15s","+0.3s","합산 +0.5s","보스 점수 상점"
CO079,SET16,사냥꾼의 전리품,epic,econ,"엘리트 처치 시 부품 코어 드롭 2%","5%","—","보스 점수 상점"
CO080,SET16,그림자 사냥꾼의 인장,legend,rule,"보스 단계 전환 시 3s 정지(보스만, 판당 2회)","3회","—","보스 점수 시즌"
CO081,SET17,바다 유리 조각,rare,stat,"보호막 +2%","+5%","40% 공통","위험 구역"
CO082,SET17,파도 소리 조개,rare,util,"보호막 재생 대기 6s→5s","→3s","—","위험 구역"
CO083,SET17,해류의 반지,epic,rule,"보호막 존재 시 이동 +5%","+12%","—","위험 구역"
CO084,SET17,심해 진주,epic,stat,"보호막 재생 +10%/s","+25%/s","—","위험 구역"
CO085,SET17,등대의 거울,legend,rule,"보호막이 깨질 때 3s 동안 받는 피해 -30%","-50%","—","위험 구역 보스"
CO086,SET18,찢어진 지도 조각,rare,stat,"이동 속도 +2%","+5%","+60% 공통","원정"
CO087,SET18,여행자의 부적,rare,stat,"회피 +1%","+3%","30% 공통","원정"
CO088,SET18,잊힌 길 표지,epic,util,"위험 구역 피해 -15%","-35%","—","원정"
CO089,SET18,바람의 인장,epic,rule,"3s 이상 연속 이동 시 회피 +5%","+12%","—","원정"
CO090,SET18,지도 제작자의 눈,legend,rule,"맵 기믹(문·다리·오아시스) 예고 +2s 먼저 표시","+ 미니맵 표시","—","원정 최고 등급"
CO091,SET19,축제 깃발,rare,stat,"경험치 +2%","+6%","+60% 공통","이벤트 교환소"
CO092,SET19,색종이,rare,util,"자석 반경 +5%","+15%","4u 공통","이벤트 교환소"
CO093,SET19,불꽃놀이 심지,epic,rule,"레벨업 시 반경 2u 적 넉백 1u","+ 계수 0.8 피해","—","이벤트 교환소"
CO094,SET19,축제의 북,epic,util,"보석 병합 시 값 +5%","+10%","—","이벤트 교환소"
CO095,SET19,영원한 축제,legend,rule,"레벨 10마다 새로고침 +1","+ 제외 +1(Lv 25)","상한 공통","이벤트 시즌 최종"
CO096,SET20,신병 훈장,rare,stat,"모든 캐릭터 ATK +1%","+2%","—","업적"
CO097,SET20,파수 훈장,rare,stat,"모든 캐릭터 HP +1%","+2%","—","업적"
CO098,SET20,고참 훈장,epic,util,"결속 Lv 계산 +2","+5","—","업적"
CO099,SET20,대장의 훈장,epic,rule,"캐릭터 승급 인장 비용 -5%","-12%","—","업적"
CO100,SET20,등대의 훈장,legend,rule,"모든 캐릭터 고유 능력 최소 간격 -1s","-2s","최소 6s","업적 100개"
