id,category,name,condition,target,reward,hidden
AC039,빌드,풀 슬롯,공격 6 패시브 6 모두 채운 채 클리어,1,"별가루 50",false
AC040,빌드,진화 여섯,한 판에 진화·융합 6개,1,"별가루 300",false
AC041,빌드,모든 스킬,공격 스킬 24종 모두 Lv5 달성(누적),24,"별가루 200",false
AC042,빌드,모든 패시브,패시브 18종 모두 Lv5 달성(누적),18,"별가루 150",false
AC043,빌드,청사진 활용,빌드 청사진 지정 후 목표 스킬 6개 모두 획득,1,"별가루 80",false
AC044,빌드,프리셋 마스터,프리셋 5개 모두 저장,5,"별가루 50",false
AC045,빌드,열두 개의 길,builds.json 기준 빌드 12종으로 각 1회 클리어(핵심 스킬 4개 일치),12,"별가루 500; 칭호 '빌드 연구자'",false
AC046,캐릭터,둘째 파수꾼,캐릭터 2명 해금,2,"금화 1000",false
AC047,캐릭터,파수단 완성,캐릭터 12명 해금,12,"별가루 500; CO098 고참 훈장",false
AC048,캐릭터,첫 승급,승급 1회,1,"별가루 30",false
AC049,캐릭터,최고 승급,승급 5단계 캐릭터 1명,1,"별가루 200",false
AC050,캐릭터,각성,각성 1회,1,"별가루 100",false
AC051,캐릭터,완전 각성,각성 3단계 캐릭터 1명,1,"별가루 400; CO099 대장의 훈장",false
AC052,캐릭터,결속 Lv 20,결속 20,20,"CO096 신병 훈장",false
AC053,캐릭터,결속 Lv 50,결속 50,50,"CO097 파수 훈장; 별가루 300",false
AC054,캐릭터,만렙 파수꾼,캐릭터 Lv 60,1,"별가루 200",false
AC055,캐릭터,모두와 함께,12명 각각 클리어 1회,12,"별가루 200",false
AC056,장비,첫 합성,합성 1회,1,"금화 500",false
AC057,장비,희귀 장비,희귀 장비 획득,1,"금화 1000",false
AC058,장비,영웅 장비,영웅 장비 획득,1,"별가루 50",false
AC059,장비,전설 장비,전설 장비 획득,1,"별가루 150",false
AC060,장비,신화 장비,신화 장비 획득,1,"별가루 400",false
AC061,장비,풀 전설,6부위 전설 이상,6,"별가루 300",false
AC062,장비,풀 신화,6부위 신화,6,"별가루 1000; 칭호 '신화의 장인'",false
AC063,장비,세트 완성,장비 6세트 보너스 1종 활성,1,"별가루 100",false
AC064,장비,모든 세트,장비 8세트 모두 6세트 활성 경험,8,"별가루 500",false
AC065,장비,첫 각인,각인 1회,1,"별가루 100",false
AC066,장비,수집가의 창고,장비 원형 48종 모두 획득,48,"별가루 300",false
AC067,부품,첫 부품,부품 획득,1,"부품 코어 20",false
AC068,부품,동작 변경,영웅 부품 장착 후 클리어,1,"부품 코어 50",false
AC069,부품,전설 부품,전설 부품 획득,1,"별가루 150",false
AC070,부품,공명,공명 1회,1,"별가루 300",false
AC071,부품,부품 도감,부품 24종 모두 획득,24,"별가루 300",false
AC072,펫,첫 동료,펫 획득,1,"사료 50",false
AC073,펫,펫 도감 6,펫 6종,6,"별가루 100",false
AC074,펫,펫 도감 12,펫 12종,12,"별가루 300; CO036 낡은 목줄",false
AC075,펫,진화,펫 진화 1회,1,"별가루 100",false
AC076,펫,각성,펫 각성 1회,1,"별가루 200",false
AC077,펫,불사의 동료,펫이 쓰러지지 않고 완전 모드 클리어 10회,10,"CO037 간식 주머니",false
AC078,수집,첫 유물,수집품 획득,1,"수집 파편 50",false
AC079,수집,세트 하나,세트 5종 완성 1개,1,"별가루 100",false
AC080,수집,세트 열,세트 완성 10개,10,"별가루 300",false
AC081,수집,전부 모았다,세트 완성 20개,20,"별가루 1000; 칭호 '기록관장'",false
AC082,수집,전설 수집품,전설 수집품 획득,1,"별가루 150",false
AC083,수집,강화 Lv5,수집품 Lv5 1개,1,"별가루 100",false
AC084,모드,보급 백 번,자원 던전 100회,100,"별가루 200",false
AC085,모드,보스 점수 골드,보스 점수 골드 등급,1,"별가루 200",false
AC086,모드,보스 점수 다이아,보스 점수 다이아 등급,1,"별가루 500; CO080",false
AC087,모드,탑 50층,등반탑 50층,50,"별가루 300; CO030",false
AC088,모드,탑 100층,등반탑 100층,100,"별가루 1000; 칭호 '탑의 정복자'",false
AC089,모드,탈출 명수,위험 구역 탈출 20회,20,"별가루 200",false
AC090,모드,전부 잠금,위험 구역 잠금 슬롯 전부 채워 탈출,1,"CO081 바다 유리 조각",false
AC091,모드,30분 생존,무한 생존 30분,1,"별가루 300; CO055",false
AC092,모드,한 시간,무한 생존 60분,1,"별가루 1000; 칭호 '끝없는 파수꾼'",false
AC093,모드,원정 완주,원정 완주 1회,1,"별가루 150",false
AC094,모드,정예 원정,정예 등급 원정 완주,1,"별가루 400; CO045 시간술사의 눈",false
AC095,모드,모드 순회자,8모드 모두 1회 이상,8,"별가루 200",false
AC096,이벤트,첫 축제,이벤트 참여 1회,1,"별가루 50",false
AC097,이벤트,모든 축제,이벤트 템플릿 6종 모두 참여,6,"별가루 300; CO091",false
AC098,비밀,거짓 등불,BS16 거짓 등불을 한 판에 5회 연속 진짜 선택,1,"CO065 황혼의 열쇠",true
AC099,비밀,반전 진입,BS20 몰락의 원에 확장 전 진입해 회피 10회,10,"CO075 영원한 불꽃 파편(5/5 필요)",true
AC100,비밀,백 개의 훈장,업적 99개 달성,99,"CO100 등대의 훈장(중복 시 별가루 1000)",true
