chapter_id,t_start_s,t_end_s,event,enemy_id,amount,formation,note
CH04,450,450,boss_mid,BS03m,1,center,"종지기 축소형(파동 넉백 → 가장자리 주의)"
CH04,450,660,stream,ALL,1.4/s,pts8,""
CH04,520,520,support,EN11,4,pts_far,""
CH04,560,560,burst,ALL,64,all_pts,""
CH04,660,660,boss_mid,EL02,1,pts_south,""
CH04,660,780,stream,ALL,1.5/s,pts8,""
CH04,720,720,burst,ALL,80,all_pts,""
CH04,780,780,beacon,-,-,center,""
CH04,780,840,stream,ALL,1.5/s,beacon_siege,""
CH04,840,840,boss_final,BS05,1,center,"파수 거상"
CH04,840,900,stream,EN01,0.6/s,pts4,""
CH05,0,20,stream,EN01,0.4/s,ring,"시야 6u 안내"
CH05,20,90,stream,"EN01;EN06",0.8/s,ring,""
CH05,60,60,burst,EN06,20,dark_ring,""
CH05,90,180,stream,"EN01;EN06;EN08",1.0/s,dark_bias,"유령 순간이동 학습"
CH05,150,150,burst,EN08,10,dark_ring,""
CH05,180,180,boss_mid,EL04,1,dark,"안개 어머니(시야 추가 감소)"
CH05,180,300,stream,ALL,1.1/s,dark_bias,"균류 자폭 학습 — 원거리 처치 안내"
CH05,240,240,burst,EN13,14,ring,""
CH05,300,450,stream,ALL,1.25/s,dark_bias,"어둠 30%→40% 확장"
CH05,360,360,burst,ALL,40,dark_ring,""
CH05,420,420,burst,EN13,20,ring,""
CH05,450,450,boss_mid,BS02m,1,front,""
CH05,450,660,stream,ALL,1.4/s,dark_bias,""
CH05,540,540,burst,ALL,60,dark_ring,""
CH05,600,600,burst,"EN08;EN13",30,dark_ring,""
CH05,660,660,boss_mid,EL01,1,front,""
CH05,660,780,stream,ALL,1.5/s,dark_bias,"어둠 50%"
CH05,720,720,burst,ALL,80,dark_ring,""
CH05,780,780,beacon,-,-,center,"봉화가 시야 회복"
CH05,780,840,stream,ALL,1.5/s,beacon_siege,""
CH05,840,840,boss_final,BS07,1,north,"늪의 어미(분열)"
CH05,840,900,stream,EN13,0.4/s,ring,""
CH06,0,20,stream,EN01,0.45/s,ring,""
CH06,20,90,stream,"EN01;EN02",0.8/s,ring,""
CH06,50,50,burst,EN10,20,ring,"인형 분열 첫 등장(쥐 분열 학습)"
CH06,90,180,stream,"EN01;EN02;EN04;EN10",0.95/s,ring,""
CH06,150,150,burst,EN10,35,ring,""
CH06,180,180,boss_mid,EL02,1,front,""
CH06,180,300,stream,ALL,1.1/s,ring,"멧돼지 합류"
CH06,240,240,burst,EN05,12,dash_cross,""
CH06,300,450,stream,ALL,1.2/s,ring,""
CH06,360,360,burst,EN10,50,ring,""
CH06,420,420,burst,ALL,40,ring,""
CH06,450,450,boss_mid,BS05m,1,front,"거상 축소형(내려찍기·반사 장판)"
CH06,450,660,stream,ALL,1.35/s,ring,""
CH06,540,540,burst,EN10,70,ring,""
CH06,600,600,burst,EN05,16,dash_cross,""
CH06,660,660,boss_mid,EL01,1,front,""
CH06,660,780,stream,ALL,1.5/s,ring,""
CH06,720,720,burst,ALL,80,ring,""
CH06,780,780,beacon,-,-,center,""
CH06,780,840,stream,ALL,1.55/s,beacon_siege,""
CH06,840,840,boss_final,BS01v1,1,north,"거목 변형: 뿌리 9곳"
CH06,840,900,stream,EN10,0.4/s,ring,""
CH07,0,20,stream,EN01,0.45/s,ring,"가시 덤불 20개 배치"
CH07,20,90,stream,"EN01;EN04",0.85/s,ring,""
CH07,60,60,burst,EN12,10,flank,"늑대 무리 협공 첫 등장"
CH07,90,180,stream,"EN01;EN04;EN07",1.0/s,ring,""
CH07,150,150,burst,EN12,16,flank,""
CH07,180,180,boss_mid,EL01,1,front,""
CH07,180,300,stream,ALL,1.15/s,flank,"유령 합류"
CH07,240,240,burst,EN08,12,ring,""
CH07,300,450,stream,ALL,1.3/s,flank,""
CH07,330,330,burst,EN12,24,flank,""
CH07,400,400,burst,ALL,48,ring,""
CH07,450,450,boss_mid,BS07m,1,front,"늪의 어미 축소형(산란·독)"
CH07,450,660,stream,ALL,1.45/s,flank+ring,""
CH07,540,540,burst,EN12,40,flank,""
CH07,600,600,burst,ALL,60,ring,""
CH07,660,660,boss_mid,EL02,1,front,""
CH07,660,780,stream,ALL,1.55/s,ring,""
CH07,720,720,burst,ALL,90,ring,""
CH07,780,780,beacon,-,-,center,""
CH07,780,840,stream,ALL,1.6/s,beacon_siege,""
CH07,840,840,boss_final,BS01,1,north,"거목(완전형: 낙엽 폭풍)"
CH07,840,900,stream,EN12,0.5/s,flank,""
CH08,0,20,stream,EN03,0.5/s,front,""
CH08,20,90,stream,"EN03;EN04",0.85/s,alt,"궁수 후방 6u 링 배치 시작"
CH08,60,60,ranged,EN09,6,ranged_ring,""
CH08,90,180,stream,"EN03;EN04;EN10",1.0/s,alt,""
CH08,120,120,gimmick,-,-,-,"골목 봉쇄 60/30 시작"
CH08,150,150,burst,EN10,25,line,""
CH08,180,180,boss_mid,EL03,1,front,""
CH08,180,300,stream,ALL,1.15/s,alt,"정령 합류"
CH08,200,200,support,EN11,2,far,""
CH08,240,240,ranged,EN09,10,ranged_ring,""
CH08,300,450,stream,ALL,1.3/s,both,""
CH08,360,360,burst,ALL,50,both_lines,""
CH08,420,420,ranged,EN09,12,ranged_ring,""
CH08,450,450,boss_mid,BS04m,1,front,"인형사 축소형(실·가위)"
CH08,450,660,stream,ALL,1.45/s,both,""
CH08,540,540,burst,EN10,60,both_lines,""
CH08,600,600,ranged,EN09,14,ranged_ring,""
CH08,660,660,boss_mid,EL01,1,front,""
CH08,660,780,stream,ALL,1.55/s,both,""
CH08,720,720,burst,ALL,80,both_lines,""
CH08,780,780,beacon,-,-,center,""
CH08,780,840,stream,ALL,1.6/s,beacon_siege,""
CH08,840,840,boss_final,BS03,1,center,"종지기(완전형: 군중 호출)"
CH08,840,900,stream,EN03,0.7/s,alt,""
CH09,0,20,stream,EN02,0.5/s,ring,"어둠 30%"
CH09,20,90,stream,"EN02;EN12",0.9/s,flank,"늑대 무리 10마리 단위"
CH09,60,60,burst,EN12,20,flank,""
CH09,90,180,stream,"EN02;EN12;EN05",1.05/s,flank,""
CH09,140,140,burst,EN05,12,dash_line,""
CH09,180,180,boss_mid,EL02,1,front,""
CH09,180,300,stream,ALL,1.2/s,flank,"나방 합류"
CH09,240,240,burst,EN12,30,flank,""
CH09,300,450,stream,ALL,1.35/s,flank+ring,""
CH09,360,360,burst,EN05,16,dash_cross,""
CH09,420,420,burst,ALL,50,ring,""
CH09,450,450,boss_mid,BS02m,1,front,"들개 왕 축소형"
CH09,450,660,stream,ALL,1.5/s,flank+ring,""
CH09,540,540,burst,EN12,50,flank,""
CH09,600,600,burst,ALL,70,ring,""
CH09,660,660,boss_mid,EL12,1,front,"사냥개 두목 + 무리 10(두목 사망 시 광폭 학습)"
CH09,660,780,stream,ALL,1.6/s,ring,""
CH09,720,720,burst,ALL,100,ring,""
CH09,780,780,beacon,-,-,center,""
CH09,780,840,stream,ALL,1.7/s,beacon_siege,""
CH09,840,840,boss_final,BS02,1,north,"들개 왕(완전형: 광폭)"
CH09,840,900,stream,EN12,0.6/s,flank,""
CH10,0,20,stream,EN01,0.5/s,pts2,"경기장 8u"
CH10,20,90,stream,"EN01;EN06",0.9/s,pts4,""
CH10,50,50,burst,EN01,30,all_pts,""
CH10,90,180,stream,"EN01;EN06;EN11",1.05/s,pts6,""
CH10,100,100,support,EN11,3,pts_far,""
CH10,150,150,burst,EN06,28,all_pts,""
CH10,180,180,boss_mid,EL01,1,pts_north,""
CH10,180,300,stream,ALL,1.2/s,pts6,"공명 종(보호막 지원) 등장 — 우선 처치 안내"
CH10,200,200,support,EN39,2,pts_far,""
CH10,240,240,burst,ALL,40,all_pts,""
CH10,300,450,stream,ALL,1.35/s,pts8,"궁수 합류"
CH10,320,320,ranged,EN09,8,ranged_ring,""
CH10,360,360,gimmick,-,-,-,"경기장 축소 8u→7u"
CH10,400,400,burst,ALL,55,all_pts,""
CH10,450,450,boss_mid,BS06m,1,center,"등대 망령 축소형(탐조등·구슬)"
CH10,450,660,stream,ALL,1.5/s,pts8,""
CH10,520,520,support,"EN39;EN11",4,pts_far,""
CH10,570,570,burst,ALL,70,all_pts,""
CH10,660,660,boss_mid,EL04,1,pts_south,""
CH10,660,780,stream,ALL,1.6/s,pts8,""
CH10,720,720,burst,ALL,90,all_pts,""
CH10,780,780,beacon,-,-,center,""
CH10,780,840,stream,ALL,1.7/s,beacon_siege,""
CH10,840,840,boss_final,BS05,1,center,"파수 거상(완전형: 축소 단계)"
CH10,840,900,stream,EN06,0.6/s,pts4,""
