id,name,env,map_structure,time_limit,enemy_mult,enemy_mix,gimmick,mid_bosses,final_boss,first_clear_reward,repeat_reward,unlocks,wave_template,wave_params
CH11,망령의 등대,ENV03,arena,15:00,2.84,"EN06;EN08;EN11;EN39;EN03","시야 제한 7u; 탐조등 기믹(경기장 회전 광선 1개, 40s마다 10s)","EL04(3:00);BS08m(7:30);EL01(11:00)",BS06,"금화 2700; 별가루 50; 부품 상자 1; 특성점수 2","금화 430; 장비 상자 30%","",WT03,"density=1.05;elite_int=100;dark=0.2;arena_r=9;searchlight=40/10"
CH12,폐광 입구,ENV05,corridor,15:00,3.15,"EN14;EN15;EN16;EN03;EN09","레일 위 광차(30s마다 직선 통과, 접촉 피해 2.0); 정기 개방 통로(45s마다 20s)","EL05(3:00);BS10m(7:30);EL03(11:00)",BS09,"금화 3000; 별가루 50; 장비 상자(희귀) 1; 특성점수 2","금화 460; 장비 상자 30%","등반탑",WT10,"density=1.05;elite_int=95;dark=0.3;rail_cycle=30;gate_cycle=45/20"
CH13,깊은 안개,ENV04,open,15:00,3.50,"EN06;EN08;EN13;EN01;EN12","시야 반경 5u; 어둠 지대 45%; 안개 어머니 시야 추가 감소","EL04(3:00);BS01m(7:30);EL04(11:00)",BS08,"금화 3300; 별가루 50; 부품 상자 1; 특성점수 2","금화 490; 장비 상자 32%","",WT11,"density=1.1;elite_int=95;dark=0.45;vision=5"
CH14,인형 극장,ENV02,corridor,15:00,3.88,"EN10;EN03;EN09;EN04;EN21","골목 봉쇄; 인형 분열 대군; 파괴 가능 무대 장치(파괴 시 광휘 +20)","EL03(3:00);BS03m(7:30);EL01(11:00)",BS04,"금화 3600; 별가루 60; 장비 상자(희귀) 1; C04 인장 20; 특성점수 2","금화 520; 장비 상자 32%","",WT07,"density=1.1;elite_int=90;dark=0.2;gate_cycle=50/25"
CH15,사금 갱도,ENV05,corridor,15:00,4.31,"EN15;EN16;EN17;EN14;EN03","사금 정령(골드 ×5) 다수; 광차; 어둠 지대 35%","EL06(3:00);BS09m(7:30);EL05(11:00)",BS10,"금화 5000; 별가루 50; 부품 상자 1; 특성점수 2","금화 700; 장비 상자 32%","주간 위험 구역",WT10,"density=1.1;elite_int=90;dark=0.35;rail_cycle=25;gold_bonus=1.5"
CH16,절벽 결전,ENV03,arena,15:00,4.78,"EN01;EN11;EN39;EN06;EN12","경기장 반경 8u; 낙석 기믹(30s마다 원 6곳); 축소 8:00","EL01(3:00);BS05m(7:30);EL02(11:00)",BS05,"금화 4200; 별가루 60; 장비 상자(영웅) 1; 특성점수 3","금화 580; 장비 상자 34%","",WT03,"density=1.15;elite_int=85;dark=0.2;arena_r=8;rockfall=30;shrink_at=480"
CH17,사냥개의 밤,ENV01,open,15:00,5.31,"EN02;EN12;EN05;EN08;EN04","어둠 지대 50%; 두목 광폭 기믹","EL12(3:00);BS02m(7:30);EL12(11:00)",BS02v1,"금화 4500; 별가루 50; 부품 상자 1; 특성점수 2","금화 610; 장비 상자 34%","",WT05,"density=1.2;elite_int=85;dark=0.5;boss_variant=야습(광폭 단계 HP 60%부터)"
CH18,기관실,ENV05,corridor,15:00,5.90,"EN14;EN15;EN16;EN09;EN21","정기 개방 통로 40/15; 광차 2레일; 포수 고정","EL05(3:00);BS06m(7:30);EL03(11:00)",BS09,"금화 4800; 별가루 60; 장비 상자(희귀) 2; 특성점수 2","금화 640; 장비 상자 36%","무한 생존",WT10,"density=1.2;elite_int=80;dark=0.3;rail_cycle=20;gate_cycle=40/15"
CH19,어미의 둥지,ENV04,open,15:00,6.54,"EN13;EN06;EN08;EN10;EN01","균류 다수; 시야 6u; 어둠 지대 50%","EL04(3:00);BS08m(7:30);EL01(11:00)",BS07,"금화 5100; 별가루 50; 부품 상자 1; 특성점수 2","금화 670; 장비 상자 36%","",WT07,"density=1.2;elite_int=80;dark=0.5;vision=6"
CH20,실 끊긴 거리,ENV02,corridor,15:00,7.26,"EN10;EN21;EN09;EN03;EN40","골목 봉쇄; 방패병 다수(후면 유도)","EL03(3:00);BS04m(7:30);EL08(11:00)",BS04,"금화 5500; 별가루 80; 장비 상자(영웅) 1; C10 인장 30; 특성점수 3","금화 700; 장비 상자 38%","원정; C10",WT06,"density=1.25;elite_int=80;dark=0.25;gate_cycle=45/20"
CH21,유리 사막 초입,ENV06,open,15:00,8.06,"EN18;EN19;EN20;EN38;EN01","위험 구역 이동(열기 지대가 20s마다 이동, 초당 2%); 소용돌이 인력","EL07(3:00);BS10m(7:30);EL02(11:00)",BS11,"금화 6000; 별가루 60; 부품 상자 1; 특성점수 2","금화 740; 장비 상자 38%","",WT04,"density=1.25;elite_int=75;dark=0.3;heat_move=20"
CH22,신기루,ENV06,open,15:00,8.95,"EN18;EN20;EN38;EN12;EN06","시야 7u(아지랑이); 안전 구역 이동(오아시스 30s마다 이동)","EL07(3:00);BS05m(7:30);EL12(11:00)",BS12,"금화 6500; 별가루 60; 장비 상자(희귀) 2; 특성점수 2","금화 780; 장비 상자 40%","",WT04,"density=1.3;elite_int=75;dark=0.35;vision=7;oasis_move=30"
CH23,망령의 귀환,ENV03,arena,15:00,9.93,"EN08;EN11;EN39;EN06;EN22","경기장 9u; 탐조등 2개; 시야 6u","EL04(3:00);BS06m(7:30);EL03(11:00)",BS06,"금화 7000; 별가루 60; 부품 상자 1; 특성점수 2","금화 820; 장비 상자 40%","",WT08,"density=1.3;elite_int=70;dark=0.3;arena_r=9;searchlight=30/12"
CH24,붕괴 갱도,ENV05,corridor,15:00,11.03,"EN14;EN15;EN16;EN21;EN17","낙석 장애물 생성(20s마다); 통로 개폐 35/15","EL05(3:00);BS12m(7:30);EL06(11:00)",BS09,"금화 7500; 별가루 80; 장비 상자(영웅) 1; 특성점수 3","금화 860; 장비 상자 42%","",WT10,"density=1.3;elite_int=70;dark=0.35;rockfall=20;gate_cycle=35/15"
CH25,사냥꾼의 안개,ENV04,open,15:00,12.24,"EN08;EN06;EN13;EN12;EN09","시야 5u; 어둠 60%; 덫 배치(맵에 12개, 밟으면 속박 1s)","EL04(3:00);BS07m(7:30);EL08(11:00)",BS08,"금화 8000; 별가루 60; 부품 상자 2; 특성점수 2","금화 900; 장비 상자 42%","",WT11,"density=1.35;elite_int=70;dark=0.6;vision=5;traps=12"
CH26,성채 외벽,ENV07,arena,15:00,13.59,"EN21;EN22;EN23;EN24;EN01","파괴 가능 성벽(HP 200)으로 경기장 구획; 쇠뇌 고정 포대","EL08(3:00);BS04m(7:30);EL03(11:00)",BS13,"금화 8500; 별가루 80; 장비 상자(영웅) 1; C-인장 선택 30; 특성점수 3","금화 940; 장비 상자 44%","",WT08,"density=1.35;elite_int=65;dark=0.3;walls=6"
CH27,금고 갱도,ENV05,corridor,15:00,15.08,"EN17;EN15;EN14;EN21;EN16","사금 정령 ×2; 광차 3레일; 어둠 40%","EL06(3:00);BS13m(7:30);EL05(11:00)",BS10,"금화 12000; 별가루 60; 부품 상자 1; 특성점수 2","금화 1500; 장비 상자 44%","",WT10,"density=1.35;elite_int=65;dark=0.4;rail_cycle=18;gold_bonus=2.0"
CH28,가고일 회랑,ENV07,arena,15:00,16.74,"EN22;EN21;EN24;EN40;EN03","가고일 정지 배치 20개(접근 시 활성); 성벽 파괴","EL08(3:00);BS11m(7:30);EL03(11:00)",BS14,"금화 9500; 별가루 80; 장비 상자(영웅) 1; 특성점수 3","금화 1020; 장비 상자 46%","",WT08,"density=1.4;elite_int=60;dark=0.3;gargoyles=20"
CH29,기사단의 뜰,ENV07,arena,15:00,18.58,"EN40;EN21;EN24;EN23;EN12","성벽 재생성(파괴 후 60s 후 재건); 깃발 강화","EL08(3:00);BS14m(7:30);EL12(11:00)",BS13v1,"금화 10000; 별가루 60; 부품 상자 2; 특성점수 2","금화 1060; 장비 상자 46%","",WT06,"density=1.4;elite_int=60;dark=0.3;walls=8;wall_regen=60;boss_variant=정예(기사 소집 5기)"
CH30,갱도 최심부,ENV05,corridor,15:00,20.62,"EN14;EN15;EN16;EN17;EN21;EN40","통로 개폐 30/12; 광차 3레일; 낙석; 어둠 50%","EL05(3:00);BS09m(7:30);EL06(11:00)",BS09v1,"금화 12000; 별가루 120; 장비 상자(전설) 1; 특성점수 4","금화 1200; 장비 상자 48%","장비 각인; 부품 공명",WT12,"density=1.45;elite_int=60;dark=0.5;rail_cycle=15;gate_cycle=30/12;rockfall=25;boss_variant=폭주(광차 4레일)"
CH31,협곡 하류,ENV08,path,15:00,22.27,"EN25;EN26;EN27;EN28;EN01","이동 경로형: 강을 따라 안전 구역(다리)이 40s마다 다음 지점으로; 물 위 적 가속","EL09(3:00);BS10m(7:30);EL02(11:00)",BS15,"금화 12500; 별가루 80; 부품 상자 1; 특성점수 2","금화 1250; 장비 상자 48%","",WT04,"density=1.45;elite_int=60;dark=0.3;bridge_move=40"
CH32,익사자의 강,ENV08,path,15:00,24.05,"EN28;EN25;EN27;EN08;EN26","다리 이동 35s; 익사자 포위 12마리 단위","EL09(3:00);BS15m(7:30);EL04(11:00)",BS16,"금화 13000; 별가루 80; 장비 상자(영웅) 1; 특성점수 3","금화 1300; 장비 상자 50%","",WT05,"density=1.5;elite_int=55;dark=0.35;bridge_move=35"
CH33,유리 폭풍 지대,ENV06,open,15:00,25.97,"EN18;EN19;EN20;EN38;EN12;EN13","열기 지대 이동 15s; 소용돌이 4개","EL07(3:00);BS16m(7:30);EL07(11:00)",BS11,"금화 13500; 별가루 80; 부품 상자 2; 특성점수 2","금화 1350; 장비 상자 50%","",WT09,"density=1.5;elite_int=55;dark=0.4;heat_move=15"
CH34,여왕의 신기루,ENV06,open,15:00,28.05,"EN18;EN20;EN38;EN08;EN06","오아시스 이동 25s; 시야 6u; 거울상 적(EN20 반투명)","EL07(3:00);BS12m(7:30);EL12(11:00)",BS12,"금화 14000; 별가루 80; 장비 상자(영웅) 1; C-인장 선택 30; 특성점수 3","금화 1400; 장비 상자 52%","",WT04,"density=1.5;elite_int=55;dark=0.4;vision=6;oasis_move=25"
CH35,모래 폭풍의 눈,ENV06,open,15:00,30.30,"EN18;EN19;EN38;EN13;EN05;EN20","모래 벽 통과 기믹(60s마다 맵 횡단 벽, 틈 2곳); 열기 이동","EL07(3:00);BS11m(7:30);EL02(11:00)",BS11v1,"금화 14500; 별가루 80; 부품 상자 2; 특성점수 2","금화 1450; 장비 상자 52%","",WT09,"density=1.55;elite_int=50;dark=0.4;sandwall=60;boss_variant=쌍둥이 폭풍(회오리 2개)"
CH36,거울 사막,ENV06,open,15:00,32.72,"EN20;EN18;EN08;EN12;EN06;EN38","시야 5u; 오아시스 20s; 어둠 55%","EL07(3:00);BS12m(7:30);EL04(11:00)",BS12v1,"금화 15000; 별가루 100; 장비 상자(영웅) 2; 특성점수 3","금화 1500; 장비 상자 54%","",WT11,"density=1.55;elite_int=50;dark=0.55;vision=5;oasis_move=20;boss_variant=천 개의 거울(거울상 8체)"
CH37,얼음 호수,ENV09,open,15:00,35.34,"EN29;EN30;EN31;EN01;EN12","미끄러짐(정지 시 0.3s 관성); 균열 지대(15s마다 선 3개, 통과 불가 10s)","EL10(3:00);BS18m(7:30);EL02(11:00)",BS17,"금화 15500; 별가루 80; 부품 상자 2; 특성점수 2","금화 1550; 장비 상자 54%","",WT09,"density=1.55;elite_int=50;dark=0.35;slide=0.3;crack=15"
CH38,성채 내정,ENV07,arena,15:00,38.16,"EN40;EN21;EN22;EN23;EN24;EN03","성벽 8개; 가고일 15; 쇠뇌 4","EL08(3:00);BS14m(7:30);EL03(11:00)",BS13,"금화 16000; 별가루 100; 장비 상자(영웅) 1; 특성점수 3","금화 1600; 장비 상자 56%","",WT08,"density=1.6;elite_int=50;dark=0.35;walls=8;gargoyles=15"
CH39,눈보라 사냥터,ENV09,open,15:00,41.22,"EN31;EN32;EN29;EN12;EN05","시야 6u(눈보라); 저격수 예고 선; 균열","EL10(3:00);BS17m(7:30);EL12(11:00)",BS18,"금화 16500; 별가루 80; 부품 상자 2; 특성점수 2","금화 1650; 장비 상자 56%","",WT06,"density=1.6;elite_int=45;dark=0.4;vision=6;crack=20"
CH40,군주의 성채,ENV07,arena,15:00,44.51,"EN40;EN22;EN24;EN21;EN23;EN10","성벽 붕괴 강제(3:00마다 1개); 가고일 20","EL08(3:00);BS13m(7:30);EL08(11:00)",BS14,"금화 20000; 별가루 150; 장비 상자(전설) 1; 특성점수 4","금화 1800; 장비 상자 58%","캐릭터 각성 2단계; 펫 각성",WT12,"density=1.65;elite_int=45;dark=0.35;walls=8;wall_collapse=180"
CH41,무너진 회랑,ENV07,arena,15:00,48.07,"EN22;EN40;EN23;EN24;EN08;EN35","성벽 재생 45s; 낙석; 벌레 분열 침식","EL08(3:00);BS13m(7:30);EL11(11:00)",BS14v1,"금화 18000; 별가루 80; 부품 상자 2; 특성점수 2","금화 1850; 장비 상자 58%","",WT07,"density=1.65;elite_int=45;dark=0.4;walls=6;wall_regen=45;boss_variant=날개 달린 군주(급강하 3연)"
CH42,종탑의 그림자,ENV02,corridor,15:00,51.92,"EN10;EN03;EN09;EN21;EN40;EN34","골목 봉쇄 30/15; 심연 시선 침식(시야 감소)","EL03(3:00);BS03m(7:30);EL11(11:00)",BS04v1,"금화 18500; 별가루 80; 장비 상자(영웅) 1; 특성점수 3","금화 1900; 장비 상자 60%","",WT06,"density=1.7;elite_int=45;dark=0.45;gate_cycle=30/15;boss_variant=실의 군주(분신 3)"
CH43,급류,ENV08,path,15:00,56.07,"EN25;EN26;EN27;EN28;EN12;EN33","다리 이동 30s; 해일 기믹(90s마다, 다리 위만 안전)","EL09(3:00);BS16m(7:30);EL02(11:00)",BS15,"금화 19000; 별가루 100; 부품 상자 2; 특성점수 2","금화 1950; 장비 상자 60%","",WT04,"density=1.7;elite_int=40;dark=0.4;bridge_move=30;tide=90"
CH44,잠긴 등대,ENV08,path,15:00,60.56,"EN27;EN28;EN25;EN08;EN34;EN26","거짓 등불 기믹(30s마다 3개, 진짜 1); 다리 이동 30s","EL09(3:00);BS15m(7:30);EL04(11:00)",BS16,"금화 19500; 별가루 100; 장비 상자(영웅) 2; C-인장 선택 30; 특성점수 3","금화 2000; 장비 상자 62%","",WT11,"density=1.7;elite_int=40;dark=0.5;bridge_move=30;false_lantern=30"
CH45,균열의 입,ENV10,arena,15:00,65.40,"EN33;EN34;EN35;EN36;EN37;EN01","봉화 3개(중앙 + 2); 시야 6u; 촉수 지대; 어둠 60%","EL11(3:00);BS17m(7:30);EL08(11:00)",BS19,"금화 22000; 별가루 120; 부품 상자 2; 특성점수 3","금화 2100; 장비 상자 62%","",WT12,"density=1.75;elite_int=40;dark=0.6;vision=6;beacons=3"
CH46,침식된 절벽,ENV03,arena,15:00,70.63,"EN11;EN39;EN06;EN33;EN34;EN22","경기장 8u; 탐조등 2; 촉수 침식; 축소 7:00","EL04(3:00);BS19m(7:30);EL11(11:00)",BS06v1,"금화 22500; 별가루 100; 장비 상자(영웅) 1; 특성점수 2","금화 2150; 장비 상자 64%","",WT08,"density=1.75;elite_int=40;dark=0.5;arena_r=8;searchlight=25/12;shrink_at=420;boss_variant=심연의 망령(탐조등 3, 안개 상시)"
CH47,검은 강,ENV08,path,15:00,76.28,"EN25;EN26;EN28;EN37;EN35;EN27","다리 25s; 해일 75s; 어둠 60%","EL09(3:00);BS15m(7:30);EL11(11:00)",BS15v1,"금화 23000; 별가루 100; 부품 상자 2; 특성점수 3","금화 2200; 장비 상자 64%","",WT05,"density=1.8;elite_int=35;dark=0.6;bridge_move=25;tide=75;boss_variant=검은 지배자(해일 3연)"
CH48,사냥꾼의 최후,ENV04,open,15:00,82.39,"EN08;EN13;EN06;EN34;EN36;EN12","시야 4u; 어둠 70%; 덫 20","EL04(3:00);BS08m(7:30);EL11(11:00)",BS08v1,"금화 23500; 별가루 100; 장비 상자(영웅) 2; 특성점수 2","금화 2250; 장비 상자 66%","",WT11,"density=1.8;elite_int=35;dark=0.7;vision=4;traps=20;boss_variant=그림자 사냥꾼(은신 상시, 저격 3연)"
CH49,빙하의 심장부,ENV09,open,15:00,88.98,"EN29;EN30;EN31;EN32;EN37;EN12","균열 12s; 미끄러짐; 조각상 8; 시야 6u","EL10(3:00);BS18m(7:30);EL10(11:00)",BS17,"금화 24000; 별가루 120; 부품 상자 3; 특성점수 3","금화 2300; 장비 상자 66%","",WT09,"density=1.8;elite_int=35;dark=0.45;crack=12;slide=0.3;vision=6"
CH50,왕의 설원,ENV09,open,15:00,96.10,"EN32;EN31;EN29;EN05;EN34;EN30","눈사태 기믹(60s마다 맵 횡단, 틈 2곳); 저격수 6 고정","EL10(3:00);BS17m(7:30);EL12(11:00)",BS18,"금화 30000; 별가루 200; 장비 상자(전설) 1; C-인장 선택 50; 특성점수 5","금화 2500; 장비 상자 68%","",WT12,"density=1.85;elite_int=35;dark=0.45;avalanche=60"
CH51,침식된 갱도,ENV05,corridor,15:00,103.8,"EN14;EN15;EN16;EN33;EN36;EN40","통로 개폐 25/10; 광차 4레일; 촉수 침식(예언자 중간 보스 교차 환경)","EL05(3:00);BS19m(7:30);EL11(11:00)",BS10v1,"금화 26000; 별가루 100; 부품 상자 2; 특성점수 3","금화 2400; 장비 상자 68%","",WT10,"density=1.85;elite_int=30;dark=0.5;rail_cycle=12;gate_cycle=25/10;boss_variant=탐욕의 왕(황금 감옥 2중)"
CH52,황혼 초원의 끝,ENV01,open,15:00,112.1,"EN01;EN02;EN05;EN12;EN37;EN36","어둠 지대 70%; 늑대 무리 15마리; 사제 소환","EL12(3:00);BS01m(7:30);EL02(11:00)",BS02v2,"금화 26500; 별가루 100; 장비 상자(영웅) 2; 특성점수 2","금화 2450; 장비 상자 70%","",WT05,"density=1.9;elite_int=30;dark=0.7;boss_variant=황혼의 들개 왕(오단 돌진 상시 + 무리 10)"
CH53,얼어붙은 균열,ENV09,open,15:00,121.1,"EN29;EN30;EN32;EN33;EN35;EN31","균열 10s; 촉수; 눈사태 50s","EL10(3:00);BS17m(7:30);EL11(11:00)",BS18v1,"금화 27000; 별가루 100; 부품 상자 3; 특성점수 3","금화 2500; 장비 상자 70%","",WT06,"density=1.9;elite_int=30;dark=0.5;crack=10;avalanche=50;boss_variant=서리 군주(얼음 갑주 상시, 눈사태 2방향)"
CH54,군주의 전조,ENV10,arena,15:00,130.7,"EN33;EN34;EN35;EN36;EN37;EN40","봉화 2; 시야 5u; 어둠 70%; 균열 개방 기믹(120s마다 20s)","EL11(3:00);BS19m(7:30);EL08(11:00)",BS20,"금화 32000; 별가루 200; 장비 상자(전설) 1; 특성점수 5","금화 2800; 장비 상자 72%","",WT12,"density=1.95;elite_int=30;dark=0.7;vision=5;beacons=2;rift=120/20;boss_note=BS20 1단계·2단계만(HP 70%)"
CH55,예언의 방,ENV10,arena,15:00,141.2,"EN33;EN34;EN36;EN35;EN37;EN22","봉화 3; 촉수 정원 상시(15s); 시야 5u","EL11(3:00);BS20m(7:30);EL11(11:00)",BS19,"금화 29000; 별가루 120; 부품 상자 3; 특성점수 3","금화 2700; 장비 상자 72%","",WT12,"density=1.95;elite_int=28;dark=0.65;vision=5;beacons=3;tentacle=15"
CH56,종탑 최후의 밤,ENV02,corridor,15:00,152.5,"EN10;EN21;EN40;EN09;EN34;EN37","골목 봉쇄 25/12; 어둠 65%; 방패병 다수","EL03(3:00);BS04m(7:30);EL08(11:00)",BS03v1,"금화 29500; 별가루 120; 장비 상자(영웅) 2; 특성점수 3","금화 2750; 장비 상자 74%","",WT06,"density=2.0;elite_int=28;dark=0.65;gate_cycle=25/12;boss_variant=심연의 종지기(파동 링 6, 군중 호출 12)"
CH57,등불 없는 강,ENV08,path,15:00,164.7,"EN27;EN28;EN26;EN37;EN36;EN34","거짓 등불 20s; 다리 20s; 해일 60s; 어둠 75%","EL09(3:00);BS16m(7:30);EL11(11:00)",BS16v1,"금화 30000; 별가루 120; 부품 상자 3; 특성점수 3","금화 2800; 장비 상자 74%","",WT11,"density=2.0;elite_int=28;dark=0.75;bridge_move=20;tide=60;false_lantern=20;boss_variant=꺼진 등불지기(거짓 등불 7, 빛 흡수 2회)"
CH58,성채의 종말,ENV07,arena,15:00,177.9,"EN40;EN21;EN22;EN24;EN37;EN36","성벽 붕괴 2:00마다; 가고일 25; 균열 개방","EL08(3:00);BS20m(7:30);EL08(11:00)",BS13v2,"금화 31000; 별가루 150; 장비 상자(전설) 1; 특성점수 4","금화 2900; 장비 상자 76%","",WT08,"density=2.05;elite_int=25;dark=0.6;walls=8;wall_collapse=120;boss_variant=몰락한 기사단장(방패 버림 단계 HP 60%, 기사 소집 6)"
CH59,심연의 문턱,ENV10,arena,15:00,192.1,"EN33;EN34;EN35;EN36;EN37;EN40;EN22","봉화 1(중앙); 시야 4u; 어둠 80%; 균열 90/25","EL11(3:00);BS19m(7:30);EL11(11:00)",BS19v1,"금화 33000; 별가루 150; 부품 상자 4; 특성점수 4","금화 3000; 장비 상자 76%","",WT12,"density=2.1;elite_int=25;dark=0.8;vision=4;beacons=1;rift=90/25;boss_variant=심연의 눈(응시 2연, 촉수 24)"
CH60,황혼의 군주,ENV10,arena,15:00,207.5,"EN33;EN34;EN35;EN36;EN37;EN40;EN21;EN12","봉화 3(군주가 순차 흡수); 시야 5u; 어둠 85%; 균열 60/30","EL11(3:00);BS19m(7:30);EL08(11:00)",BS20,"금화 50000; 별가루 500; 장비 상자(전설) 2; C12 인장 50; 각성석 20; 특성점수 8; 칭호 '등불의 수호자'","금화 3500; 장비 상자 80%","엔딩; 무한 생존 '군주의 황혼' 규칙",WT12,"density=2.2;elite_int=25;dark=0.85;vision=5;beacons=3;rift=60/30"
