table_id,kind,roll_type,entry,item_ref,weight_or_price,qty,pity_or_limit,notes
RW_SHOP_MEDAL,shop,guaranteed,훈장 상점,SET03 지정 상자,200,1,"주 5회",""
RW_SHOP_MEDAL,shop,guaranteed,훈장 상점,에너지 30,60,1,"일 2회",""
RW_SHOP_INFINITE,shop,guaranteed,무한 상점(무한 토큰),SET11 지정 상자,40,1,"주 5회",""
RW_SHOP_INFINITE,shop,guaranteed,무한 상점(무한 토큰),공명 코어 묶음(코어 50),30,1,"주 6회",""
RW_SHOP_INFINITE,shop,guaranteed,무한 상점(무한 토큰),C07 인장,20,5,"주 6회(30인장)",""
RW_SHOP_HAZARD,shop,guaranteed,위험 구역 상점(파편),C11 인장,400,30,"1회 후 주 1회 10인장",""
RW_SHOP_HAZARD,shop,guaranteed,위험 구역 상점(파편),PT05 늪 두꺼비,500,1,"1회",""
RW_SHOP_HAZARD,shop,guaranteed,위험 구역 상점(파편),전설 설계도 조각,80,1,"주 10회(30조각 = 전설 상자 1)",""
RW_SHOP_HAZARD,shop,guaranteed,위험 구역 상점(파편),각성석,60,1,"주 10회",""
RW_SHOP_BOSS,shop,guaranteed,보스 점수 상점(훈장),SET07 지정 상자,200,1,"주 5회",""
RW_SHOP_BOSS,shop,guaranteed,보스 점수 상점(훈장),SET16 지정 상자,200,1,"주 5회",""
RW_SHOP_BOSS,shop,guaranteed,보스 점수 상점(훈장),CO010 전설의 활대,1500,1,"시즌 1회",""
RW_SHOP_BOSS,shop,guaranteed,보스 점수 상점(훈장),부품 상자,120,1,"주 10회",""
RW_SHOP_EXPED,shop,guaranteed,원정 상점(원정 토큰),PT12 기계 거미,300,1,"1회",""
RW_SHOP_EXPED,shop,guaranteed,원정 상점(원정 토큰),SET09/18 지정 상자,60,1,"주 6회",""
RW_SHOP_EXPED,shop,guaranteed,원정 상점(원정 토큰),각성석,25,1,"주 10회",""
RW_SHOP_EXPED,shop,guaranteed,원정 상점(원정 토큰),전설 장비 상자(슬롯 선택),800,1,"월 1회",""
RW_SHOP_DUST,shop,guaranteed,별가루 상점,에너지 60,100,1,"일 6회","4회부터 150(1~3회 100)"
RW_SHOP_DUST,shop,guaranteed,별가루 상점,펫 상자,150,1,"무제한",""
RW_SHOP_DUST,shop,guaranteed,별가루 상점,희귀 장비 상자,200,1,"일 5회",""
RW_SHOP_DUST,shop,guaranteed,별가루 상점,부품 코어 30,80,1,"일 5회",""
RW_SHOP_DUST,shop,guaranteed,별가루 상점,수집 파편 50,120,1,"일 5회",""
RW_SHOP_DUST,shop,guaranteed,별가루 상점,자원 던전 티켓,90,1,"일 1회",""
RW_SHOP_DUST,shop,guaranteed,별가루 상점,특성 초기화,200,1,"무료 소진 후",""
RW_EV_BOARD,shop,guaranteed,탐사 보드 교환소(주사위),한정 수집품(이벤트 지정),120,1,"1회",""
RW_EV_BOARD,shop,guaranteed,탐사 보드 교환소(주사위),인장 선택 상자,30,10,"5회",""
RW_EV_BOARD,shop,guaranteed,탐사 보드 교환소(주사위),영웅 장비 상자,25,1,"5회",""
RW_EV_EXPED,shop,guaranteed,분기형 원정 교환소(지도 조각),각성석,4,1,"20회",""
RW_EV_EXPED,shop,guaranteed,분기형 원정 교환소(지도 조각),SET18 지정 상자,10,1,"5회",""
RW_EV_HUNT,shop,guaranteed,표적 보스 사냥 교환소(표식),보스 전용 수집품,800,1,"1회",""
RW_EV_HUNT,shop,guaranteed,표적 보스 사냥 교환소(표식),부품 상자,150,1,"10회",""
RW_EV_FORT,shop,guaranteed,방어 거점 교환소(보급품),한정 펫(이벤트 지정),600,1,"1회",""
RW_EV_FORT,shop,guaranteed,방어 거점 교환소(보급품),강화석,30,1,"20회",""
RW_EV_INGR,shop,guaranteed,재료 조합 교환소(조합 결과),SET14/19 지정 상자,1,1,"조합 결과물 '축제 상자' 1개당",""
RW_EV_TALLY,shop,guaranteed,누적 목표 보상(단계),단계 1~5,-,-,"100/300/600/1000/1500 기여도","보상: 금화 5000 / 부품 상자 2 / 인장 선택 30 / 영웅 장비 상자 / 한정 수집품"
