id,branch,tier,name,type,effect_per_rank,max_rank,cost_tp,cost_gold,prereq,unlock_cond
TB23,생존,6,정화,rule,"고유 능력 발동 시 자신 상태 이상 해제",1,5,20000,TB19,챕터 30
TB24,생존,6,최후의 방벽,rule,"판당 1회 치명타 피해를 체력 1로 버팀(수집품 CO020과 별개, 합산 상한 2)",1,6,20000,TB20,챕터 32
TB25,생존,7,황혼의 갑주,stat,"받는 피해 -2%",5,5,30000,TB21|TB22,챕터 40
TB26,생존,7,불사의 파수꾼,rule,"부활 후 10s 동안 피해 +20%, 받는 피해 -30%",1,6,30000,TB25,챕터 42
TB27,생존,7,등불의 축복,rule,"봉화 점화 시 최대 체력 30% 즉시 회복",1,8,40000,TB23,챕터 45
TB28,생존,7,군주의 시험 통과,rule,"보스 광폭화 단계 피해 +25%→+15%",1,8,40000,TB24,챕터 50
TC01,편의,1,넉넉한 배낭,util,"금화 획득 +2%",5,1,500,-,챕터 3
TC02,편의,1,빠른 학습,util,"경험치 +2%",5,1,500,-,챕터 3
TC03,편의,1,계정 성장,util,"계정 경험치 +3%",5,1,500,-,챕터 3
TC04,편의,1,넓은 창고,util,"장비 보관 +20칸",5,1,500,-,챕터 3
TC05,편의,2,새로고침 추가,rule,"판당 새로고침 +1(상한 6)",3,3,2000,TC02,챕터 6
TC06,편의,2,제외 추가,rule,"판당 제외 +1(상한 4)",2,3,2000,TC02,챕터 6
TC07,편의,2,잠금 추가,rule,"판당 잠금 +1(상한 2)",1,4,3000,TC05|TC06,챕터 8
TC08,편의,2,에너지 회복,util,"에너지 회복 간격 6분→5.5분(랭크당 -0.1분, 최소 5분)",5,2,1500,TC01,챕터 6
TC09,편의,3,빌드 청사진 강화,rule,"청사진 가중치 ×1.4→×1.5(랭크당 +0.1, 최대 ×1.8)",4,3,4000,TC07,챕터 10
TC10,편의,3,진화 미리보기,util,"레벨업 카드에 진화 결과 툴팁 + 상자 내용 100% 미리보기",1,2,2000,TC07,챕터 10
TC11,편의,3,빠른 전투 해금,util,"별점 3 챕터 빠른 전투 가능(보상 70%)",1,3,5000,TC03,챕터 12
TC12,편의,3,자원 던전 추가,util,"일일 자원 던전 입장 +1",2,4,8000,TC08,챕터 12
TC13,편의,4,프리셋 확장,util,"빌드 프리셋 슬롯 +1(최대 8)",3,2,3000,TC09,챕터 15
TC14,편의,4,일괄 합성,util,"장비·부품·펫 일괄 합성 버튼",1,2,3000,TC04,챕터 15
TC15,편의,4,시간 선택 확장,rule,"속공 모드 보상 계수 0.45→0.5, 표준 0.75→0.8",2,4,8000,TC11,챕터 18
TC16,편의,4,오프라인 확장,util,"오프라인 봉화 수익 상한 +1h(최대 12h)",4,3,6000,TC12,챕터 18
TC17,편의,5,환급 개선,util,"분해 시 골드 환급 90%→95%",1,3,8000,TC14,챕터 20
TC18,편의,5,특성 초기화 할인,util,"특성 초기화 무료 횟수 하루 1→2",1,3,8000,TC13,챕터 20
TC19,편의,5,수집품 중복 보너스,util,"수집품 중복 파편 환급 +20%",3,3,8000,TC16,챕터 22
TC20,편의,5,사금 감지,util,"사금 정령·골드 엘리트 등장 +20%",3,3,8000,TC01,챕터 22
TC21,편의,6,시드 기록,util,"결과 화면 시드 복사 + '같은 판 다시' 무제한",1,2,5000,TC15,챕터 28
TC22,편의,6,전투 분석 확장,util,"시간대별 DPS·피해 원인 그래프 30s→10s 해상도",1,2,5000,TC10,챕터 28
TC23,편의,6,보스 러시 보상,rule,"도전 R18 상자 3회→4회",1,5,15000,TC19,챕터 30
TC24,편의,6,광휘 저장,rule,"판 종료 시 남은 광휘의 10%를 다음 판 시작 광휘로(최대 30)",3,4,12000,TC20,챕터 32
TC25,편의,7,빠른 전투 개선,util,"빠른 전투 보상 70%→80%",1,6,25000,TC21,챕터 40
TC26,편의,7,원정 보급,util,"원정 중 스킬 유지 시 Lv 유지 상한 +1",2,6,25000,TC22,챕터 42
TC27,편의,7,규칙 완화,rule,"도전 규칙 R05(선택지 2)→3 유지(도전 보상 -20%)",1,8,40000,TC23,챕터 45
TC28,편의,7,파수단 결속 확장,util,"결속 Lv 상한 +5",1,8,40000,TC24,챕터 50
