id,slot,name,set_id,main_stat,base_value,opt1_rare,opt2_epic,legend_effect,source_hint
EQ22,NCK,피의 목걸이,ESET06,atk,11,"흡혈 +1%","흡혈 상한 +1%","체력 50% 이하 시 흡혈 2배","챕터 18~ 상자"
EQ23,NCK,폭풍의 눈,ESET07,atk,10,"연쇄 +1","감전 피해 +10%","감전 적 사망 시 소형 방전","챕터 20~ 상자"
EQ24,NCK,왕관 파편,ESET08,atk,12,"보스 피해 +6%","보스 패턴 예고 +0.2s","보스 피해 +15%","챕터 24~ 상자"
EQ25,GLV,파수 장갑,ESET01,atk,12,"공격 속도 +3%","공격력 +2%","공격 속도 +8%","챕터 1~ 상자"
EQ26,GLV,투척 장갑,ESET02,atk,13,"투사체 사거리 +10%","투사체 속도 +10%","관통 +1","챕터 5~ 상자"
EQ27,GLV,화염 장갑,ESET03,atk,12,"화상 피해 +10%","화상 지속 +1s","모든 공격 5% 확률 화상","챕터 10~ 상자"
EQ28,GLV,서리 장갑,ESET04,atk,12,"둔화 +10%","빙결 확률 +3%","모든 공격 3% 빙결","챕터 13~ 상자"
EQ29,GLV,강철 너클,ESET05,atk,14,"근접 피해 +6%","넉백 +25%","근접 공격이 넉백 시 추가 계수 0.3","챕터 8~ 상자"
EQ30,GLV,정밀 장갑,ESET06,atk,12,"치명타 확률 +3%","치명타 피해 +8%","치명타 시 적 방어 무시","챕터 16~ 상자"
EQ31,GLV,조종 장갑,ESET07,atk,11,"소환체 피해 +6%","소환체 사거리 +15%","소환체 치명타 가능(플레이어 치명타 확률 적용)","챕터 19~ 상자"
EQ32,GLV,도둑 장갑,ESET08,atk,11,"회복 아이템 드롭 +20%","금화 +5%","엘리트 처치 시 부품 코어 1 드롭 10%","챕터 23~ 상자"
EQ33,BLT,파수 벨트,ESET01,hp,120,"최대 체력 +2%","방어 +4","받는 피해 -3%, 최대 체력 +5%","챕터 2~ 상자"
EQ34,BLT,탄약 벨트,ESET02,hp,100,"투사체 크기 +8%","투사체 피해 +3%","projectile 스킬 투사체 +1(P03과 합산 상한 적용)","챕터 6~ 상자"
EQ35,BLT,약초 주머니,ESET03,hp,110,"회복 아이템 효과 +20%","회복 아이템 드롭 +10%","회복 아이템 획득 시 보호막 10%","챕터 11~ 상자"
EQ36,BLT,무거운 벨트,ESET04,hp,140,"넉백 저항 +30%","접촉 피해 -8%","적 돌진 피해 -30%","챕터 14~ 상자"
EQ37,BLT,지뢰 벨트,ESET05,hp,110,"trap·stationary 스킬 피해 +8%","설치 상한 +2","설치물이 적 투사체를 막음","챕터 17~ 상자"
EQ38,BLT,부적 벨트,ESET06,hp,120,"부활 시 체력 +10%","부활 무적 +1s","판당 부활 +1(상한 2 적용)","챕터 21~ 상자"
EQ39,BLT,축전 벨트,ESET07,hp,110,"광휘 획득 +6%","고유 능력 효과 +10%","고유 능력 발동 시 보호막 15%","챕터 22~ 상자"
EQ40,BLT,시간의 벨트,ESET08,hp,110,"지속 +6%","쿨다운 -3%","지속형 효과 종료 시 반경 2u 계수 0.8 폭발","챕터 25~ 상자"
EQ41,BTS,파수 장화,ESET01,hp,80,"이동 속도 +3%","최대 체력 +2%","이동 속도 +8%","챕터 1~ 상자"
EQ42,BTS,바람 장화,ESET02,hp,70,"이동 속도 +4%","회피 +2%","이동 중 회피 +5%","챕터 4~ 상자"
EQ43,BTS,무쇠 장화,ESET03,hp,100,"둔화 저항 +30%","넉백 저항 +20%","둔화·속박 면역","챕터 10~ 상자"
EQ44,BTS,황혼 장화,ESET04,hp,80,"어둠 지대 이동 속도 +8%","어둠 지대 보석 +10%","어둠 지대에서 시야 감소 무효","챕터 13~ 상자"
EQ45,BTS,불꽃 장화,ESET05,hp,80,"이동 궤적 화염(계수 0.1/0.5s)","화상 +5%","궤적 화염 폭 2배","챕터 18~ 상자"
EQ46,BTS,자석 장화,ESET06,hp,75,"자석 반경 +15%","보석 흡수 속도 +50%","보석 흡수 시 1% 확률 광휘 +10","챕터 7~ 상자"
EQ47,BTS,그림자 장화,ESET07,hp,80,"피격 후 2s 이동 속도 +15%","회피 +2%","피격 후 1s 무적(쿨다운 20s)","챕터 20~ 상자"
EQ48,BTS,등반가 장화,ESET08,hp,90,"위험 구역 피해 -20%","낙하 피해 -30%","위험 구역·가장자리 피해 -50%","챕터 21~ 상자"
